,Alameda County, California, Precipitation,Kings County, California, Precipitation,Placer County, California, Precipitation,Sierra County, California, Precipitation,Alpine County, California, Precipitation,Lake County, California, Precipitation,Plumas County, California, Precipitation,Siskiyou County, California, Precipitation,Amador County, California, Precipitation,Lassen County, California, Precipitation,Riverside County, California, Precipitation,Solano County, California, Precipitation,Butte County, California, Precipitation,Los Angeles County, California, Precipitation,Sacramento County, California, Precipitation,Sonoma County, California, Precipitation,Calaveras County, California, Precipitation,Madera County, California, Precipitation,San Benito County, California, Precipitation,Stanislaus County, California, Precipitation,Colusa County, California, Precipitation,Marin County, California, Precipitation,San Bernardino County, California, Precipitation,Sutter County, California, Precipitation,Contra Costa County, California, Precipitation,Mariposa County, California, Precipitation,San Diego County, California, Precipitation,Tehama County, California, Precipitation,Del Norte County, California, Precipitation,Mendocino County, California, Precipitation,San Francisco County, California, Precipitation,Trinity County, California, Precipitation,El Dorado County, California, Precipitation,Merced County, California, Precipitation,San Joaquin County, California, Precipitation,Tulare County, California, Precipitation,Fresno County, California, Precipitation,Modoc County, California, Precipitation,San Luis Obispo County, California, Precipitation,Tuolumne County, California, Precipitation,Glenn County, California, Precipitation,Mono County, California, Precipitation,San Mateo County, California, Precipitation,Ventura County, California, Precipitation,Humboldt County, California, Precipitation,Monterey County, California, Precipitation,Santa Barbara County, California, Precipitation,Yolo County, California, Precipitation,Imperial County, California, Precipitation,Napa County, California, Precipitation,Santa Clara County, California, Precipitation,Yuba County, California, Precipitation
91,200705,0.21,,200705,0.01,,200705,1.11,,200705,1.16,,200705,0.71,,200705,0.56,,200705,1.04,,200705,0.92,,200705,0.69,,200705,0.41,,200705,0.00,,200705,0.31,,200705,0.82,,200705,0.01,,200705,0.37,,200705,0.53,,200705,0.85,,200705,0.23,,200705,0.04,,200705,0.11,,200705,0.37,,200705,0.55,,200705,0.00,,200705,0.35,,200705,0.24,,200705,0.56,,200705,0.02,,200705,0.77,,200705,1.36,,200705,0.92,,200705,0.42,,200705,1.11,,200705,0.96,,200705,0.04,,200705,0.12,,200705,0.07,,200705,0.10,,200705,0.46,,200705,0.02,,200705,1.05,,200705,0.43,,200705,0.14,,200705,0.40,,200705,0.07,,200705,1.03,,200705,0.06,,200705,0.01,,200705,0.32,,200705,0.00,,200705,0.43,,200705,0.16,,200705,0.82,
92,200706,0.00,,200706,0.00,,200706,0.33,,200706,0.69,,200706,0.19,,200706,0.00,,200706,0.46,,200706,0.56,,200706,0.08,,200706,0.45,,200706,0.00,,200706,0.00,,200706,0.28,,200706,0.00,,200706,0.00,,200706,0.00,,200706,0.09,,200706,0.02,,200706,0.00,,200706,0.00,,200706,0.05,,200706,0.00,,200706,0.00,,200706,0.05,,200706,0.00,,200706,0.01,,200706,0.00,,200706,0.19,,200706,1.34,,200706,0.03,,200706,0.00,,200706,0.13,,200706,0.21,,200706,0.00,,200706,0.00,,200706,0.00,,200706,0.01,,200706,0.70,,200706,0.00,,200706,0.09,,200706,0.10,,200706,0.13,,200706,0.01,,200706,0.00,,200706,0.37,,200706,0.01,,200706,0.00,,200706,0.00,,200706,0.00,,200706,0.00,,200706,0.01,,200706,0.32,
93,200707,0.02,,200707,0.00,,200707,0.03,,200707,0.09,,200707,0.08,,200707,0.13,,200707,0.34,,200707,0.83,,200707,0.05,,200707,0.23,,200707,0.11,,200707,0.03,,200707,0.17,,200707,0.04,,200707,0.04,,200707,0.09,,200707,0.03,,200707,0.07,,200707,0.01,,200707,0.01,,200707,0.11,,200707,0.04,,200707,0.25,,200707,0.02,,200707,0.02,,200707,0.02,,200707,0.04,,200707,0.39,,200707,1.20,,200707,0.17,,200707,0.06,,200707,0.48,,200707,0.04,,200707,0.01,,200707,0.03,,200707,0.01,,200707,0.07,,200707,0.17,,200707,0.00,,200707,0.11,,200707,0.19,,200707,0.45,,200707,0.06,,200707,0.01,,200707,0.65,,200707,0.01,,200707,0.00,,200707,0.05,,200707,0.03,,200707,0.05,,200707,0.03,,200707,0.04,
94,200708,0.00,,200708,0.05,,200708,0.06,,200708,0.06,,200708,0.42,,200708,0.00,,200708,0.01,,200708,0.14,,200708,0.02,,200708,0.06,,200708,0.11,,200708,0.00,,200708,0.00,,200708,0.03,,200708,0.00,,200708,0.00,,200708,0.01,,200708,0.19,,200708,0.03,,200708,0.00,,200708,0.00,,200708,0.01,,200708,0.18,,200708,0.00,,200708,0.00,,200708,0.12,,200708,0.16,,200708,0.00,,200708,0.35,,200708,0.01,,200708,0.00,,200708,0.04,,200708,0.05,,200708,0.00,,200708,0.00,,200708,0.19,,200708,0.27,,200708,0.14,,200708,0.09,,200708,0.29,,200708,0.00,,200708,0.75,,200708,0.01,,200708,0.01,,200708,0.09,,200708,0.06,,200708,0.04,,200708,0.00,,200708,0.10,,200708,0.00,,200708,0.00,,200708,0.00,
95,200709,0.22,,200709,0.27,,200709,1.02,,200709,0.99,,200709,0.79,,200709,0.20,,200709,0.78,,200709,0.50,,200709,0.40,,200709,0.58,,200709,0.54,,200709,0.20,,200709,0.89,,200709,0.70,,200709,0.19,,200709,0.10,,200709,0.31,,200709,0.29,,200709,0.51,,200709,0.16,,200709,0.22,,200709,0.10,,200709,0.77,,200709,0.31,,200709,0.12,,200709,0.39,,200709,0.23,,200709,0.67,,200709,0.91,,200709,0.22,,200709,0.16,,200709,0.20,,200709,0.84,,200709,0.38,,200709,0.16,,200709,0.51,,200709,0.41,,200709,0.83,,200709,0.05,,200709,0.60,,200709,0.46,,200709,0.55,,200709,0.30,,200709,0.61,,200709,0.35,,200709,0.36,,200709,0.23,,200709,0.22,,200709,0.44,,200709,0.17,,200709,0.38,,200709,0.75,
96,200710,1.55,,200710,0.42,,200710,3.14,,200710,3.25,,200710,1.31,,200710,2.33,,200710,2.84,,200710,5.45,,200710,1.58,,200710,1.55,,200710,0.02,,200710,1.54,,200710,2.58,,200710,0.33,,200710,1.00,,200710,3.62,,200710,1.47,,200710,0.59,,200710,0.78,,200710,0.86,,200710,1.86,,200710,3.05,,200710,0.02,,200710,1.53,,200710,1.54,,200710,1.11,,200710,0.15,,200710,2.67,,200710,10.45,,200710,3.96,,200710,2.58,,200710,6.27,,200710,2.38,,200710,0.74,,200710,0.77,,200710,1.05,,200710,0.52,,200710,2.44,,200710,0.61,,200710,1.35,,200710,1.24,,200710,0.44,,200710,2.13,,200710,0.33,,200710,6.90,,200710,0.92,,200710,0.43,,200710,1.43,,200710,0.01,,200710,2.20,,200710,1.40,,200710,2.68,
97,200711,0.73,,200711,0.08,,200711,1.38,,200711,1.18,,200711,0.74,,200711,0.75,,200711,0.97,,200711,2.23,,200711,1.16,,200711,0.59,,200711,1.13,,200711,0.73,,200711,1.23,,200711,0.79,,200711,0.89,,200711,0.76,,200711,1.10,,200711,0.21,,200711,0.41,,200711,0.45,,200711,0.78,,200711,1.04,,200711,0.66,,200711,0.67,,200711,0.69,,200711,0.26,,200711,1.02,,200711,0.84,,200711,8.09,,200711,1.19,,200711,1.07,,200711,1.83,,200711,1.25,,200711,0.34,,200711,0.65,,200711,0.30,,200711,0.18,,200711,0.96,,200711,0.11,,200711,0.69,,200711,0.42,,200711,0.30,,200711,0.85,,200711,0.32,,200711,3.22,,200711,0.22,,200711,0.23,,200711,0.75,,200711,0.90,,200711,0.76,,200711,0.74,,200711,1.14,
98,200712,2.48,,200712,1.14,,200712,6.44,,200712,5.77,,200712,4.14,,200712,7.21,,200712,4.44,,200712,6.10,,200712,5.17,,200712,1.89,,200712,1.49,,200712,3.08,,200712,6.59,,200712,1.66,,200712,2.86,,200712,7.01,,200712,5.33,,200712,3.23,,200712,1.49,,200712,1.74,,200712,3.47,,200712,5.53,,200712,1.11,,200712,3.00,,200712,2.75,,200712,4.35,,200712,2.15,,200712,4.93,,200712,13.13,,200712,9.13,,200712,3.89,,200712,9.60,,200712,5.67,,200712,1.26,,200712,2.19,,200712,3.26,,200712,2.71,,200712,1.85,,200712,2.41,,200712,5.57,,200712,3.70,,200712,1.81,,200712,3.39,,200712,1.96,,200712,12.12,,200712,2.00,,200712,2.19,,200712,3.37,,200712,0.18,,200712,4.59,,200712,2.28,,200712,6.10,
99,200801,6.93,,200801,2.48,,200801,12.52,,200801,11.67,,200801,10.05,,200801,17.35,,200801,10.48,,200801,10.02,,200801,10.01,,200801,4.33,,200801,2.90,,200801,8.60,,200801,11.00,,200801,7.87,,200801,8.01,,200801,15.81,,200801,9.89,,200801,6.93,,200801,7.54,,200801,5.23,,200801,10.17,,200801,13.66,,200801,2.11,,200801,7.58,,200801,7.53,,200801,10.17,,200801,5.44,,200801,10.77,,200801,15.79,,200801,16.56,,200801,9.89,,200801,16.19,,200801,11.96,,200801,4.22,,200801,5.40,,200801,6.50,,200801,6.27,,200801,3.52,,200801,8.30,,200801,12.14,,200801,11.41,,200801,5.25,,200801,10.67,,200801,10.04,,200801,17.21,,200801,10.28,,200801,12.59,,200801,9.23,,200801,0.87,,200801,12.92,,200801,8.92,,200801,10.09,
100,200802,2.35,,200802,0.79,,200802,5.94,,200802,5.40,,200802,5.71,,200802,5.69,,200802,5.33,,200802,3.16,,200802,4.45,,200802,2.08,,200802,0.79,,200802,2.57,,200802,5.80,,200802,1.55,,200802,2.03,,200802,4.69,,200802,4.71,,200802,4.03,,200802,2.57,,200802,2.15,,200802,3.55,,200802,4.14,,200802,0.45,,200802,2.49,,200802,2.14,,200802,5.69,,200802,2.51,,200802,4.22,,200802,6.35,,200802,6.02,,200802,2.73,,200802,7.11,,200802,5.99,,200802,1.73,,200802,1.39,,200802,4.32,,200802,3.61,,200802,1.38,,200802,2.19,,200802,7.50,,200802,4.12,,200802,2.73,,200802,4.07,,200802,1.89,,200802,6.27,,200802,2.87,,200802,2.18,,200802,2.83,,200802,0.04,,200802,4.17,,200802,3.71,,200802,4.85,
101,200803,0.20,,200803,0.00,,200803,1.47,,200803,1.31,,200803,1.14,,200803,0.62,,200803,1.29,,200803,2.18,,200803,0.66,,200803,0.83,,200803,0.07,,200803,0.13,,200803,0.77,,200803,0.09,,200803,0.15,,200803,0.37,,200803,0.64,,200803,0.33,,200803,0.24,,200803,0.07,,200803,0.34,,200803,0.39,,200803,0.03,,200803,0.16,,200803,0.17,,200803,0.44,,200803,0.16,,200803,0.83,,200803,8.08,,200803,1.54,,200803,0.29,,200803,1.88,,200803,1.35,,200803,0.04,,200803,0.09,,200803,0.32,,200803,0.32,,200803,1.24,,200803,0.06,,200803,0.91,,200803,0.12,,200803,0.36,,200803,0.29,,200803,0.05,,200803,4.36,,200803,0.24,,200803,0.08,,200803,0.08,,200803,0.00,,200803,0.20,,200803,0.22,,200803,0.80,
102,200804,0.10,,200804,0.01,,200804,0.42,,200804,0.45,,200804,0.39,,200804,0.46,,200804,0.54,,200804,1.18,,200804,0.25,,200804,0.55,,200804,0.00,,200804,0.07,,200804,0.62,,200804,0.04,,200804,0.04,,200804,0.31,,200804,0.23,,200804,0.02,,200804,0.15,,200804,0.02,,200804,0.25,,200804,0.21,,200804,0.00,,200804,0.11,,200804,0.07,,200804,0.06,,200804,0.02,,200804,0.45,,200804,3.49,,200804,0.99,,200804,0.17,,200804,1.37,,200804,0.37,,200804,0.01,,200804,0.03,,200804,0.00,,200804,0.02,,200804,0.77,,200804,0.38,,200804,0.32,,200804,0.26,,200804,0.06,,200804,0.21,,200804,0.11,,200804,2.83,,200804,0.42,,200804,0.13,,200804,0.05,,200804,0.00,,200804,0.16,,200804,0.14,,200804,0.37,
103,200805,0.01,,200805,0.21,,200805,1.07,,200805,1.24,,200805,1.82,,200805,0.20,,200805,1.16,,200805,1.64,,200805,0.81,,200805,1.23,,200805,0.32,,200805,0.03,,200805,0.22,,200805,0.43,,200805,0.12,,200805,0.05,,200805,0.83,,200805,0.84,,200805,0.17,,200805,0.07,,200805,0.12,,200805,0.06,,200805,0.24,,200805,0.05,,200805,0.01,,200805,1.12,,200805,0.54,,200805,0.41,,200805,0.32,,200805,0.31,,200805,0.03,,200805,1.06,,200805,1.31,,200805,0.12,,200805,0.04,,200805,0.72,,200805,0.71,,200805,2.61,,200805,0.07,,200805,1.58,,200805,0.47,,200805,1.25,,200805,0.02,,200805,0.22,,200805,0.20,,200805,0.04,,200805,0.19,,200805,0.05,,200805,0.08,,200805,0.12,,200805,0.01,,200805,0.25,
104,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.01,,200806,0.02,,200806,0.11,,200806,0.00,,200806,0.07,,200806,0.00,,200806,0.00,,200806,0.02,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.01,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.01,,200806,0.01,,200806,0.50,,200806,0.04,,200806,0.00,,200806,0.14,,200806,0.01,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.22,,200806,0.00,,200806,0.01,,200806,0.01,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.24,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.00,,200806,0.00,
105,200807,0.00,,200807,0.01,,200807,0.02,,200807,0.03,,200807,0.24,,200807,0.00,,200807,0.02,,200807,0.01,,200807,0.01,,200807,0.02,,200807,0.30,,200807,0.00,,200807,0.00,,200807,0.08,,200807,0.00,,200807,0.00,,200807,0.00,,200807,0.05,,200807,0.00,,200807,0.00,,200807,0.00,,200807,0.00,,200807,0.43,,200807,0.00,,200807,0.00,,200807,0.02,,200807,0.02,,200807,0.00,,200807,0.05,,200807,0.00,,200807,0.01,,200807,0.00,,200807,0.02,,200807,0.00,,200807,0.00,,200807,0.23,,200807,0.20,,200807,0.03,,200807,0.00,,200807,0.09,,200807,0.00,,200807,0.23,,200807,0.01,,200807,0.00,,200807,0.05,,200807,0.01,,200807,0.00,,200807,0.00,,200807,0.32,,200807,0.00,,200807,0.00,,200807,0.00,
106,200808,0.00,,200808,0.00,,200808,0.00,,200808,0.01,,200808,0.08,,200808,0.00,,200808,0.00,,200808,0.19,,200808,0.00,,200808,0.07,,200808,0.39,,200808,0.00,,200808,0.02,,200808,0.00,,200808,0.00,,200808,0.00,,200808,0.00,,200808,0.00,,200808,0.00,,200808,0.00,,200808,0.01,,200808,0.04,,200808,0.36,,200808,0.01,,200808,0.00,,200808,0.00,,200808,0.24,,200808,0.02,,200808,0.87,,200808,0.00,,200808,0.04,,200808,0.05,,200808,0.01,,200808,0.00,,200808,0.00,,200808,0.03,,200808,0.00,,200808,0.12,,200808,0.01,,200808,0.03,,200808,0.01,,200808,0.05,,200808,0.01,,200808,0.05,,200808,0.24,,200808,0.00,,200808,0.03,,200808,0.00,,200808,0.46,,200808,0.00,,200808,0.01,,200808,0.00,
107,200809,0.00,,200809,0.00,,200809,0.01,,200809,0.01,,200809,0.00,,200809,0.15,,200809,0.02,,200809,0.00,,200809,0.00,,200809,0.04,,200809,0.10,,200809,0.00,,200809,0.00,,200809,0.02,,200809,0.00,,200809,0.07,,200809,0.00,,200809,0.03,,200809,0.00,,200809,0.00,,200809,0.01,,200809,0.02,,200809,0.05,,200809,0.00,,200809,0.00,,200809,0.01,,200809,0.01,,200809,0.03,,200809,0.03,,200809,0.28,,200809,0.00,,200809,0.06,,200809,0.00,,200809,0.00,,200809,0.00,,200809,0.02,,200809,0.04,,200809,0.05,,200809,0.00,,200809,0.00,,200809,0.05,,200809,0.08,,200809,0.01,,200809,0.01,,200809,0.06,,200809,0.00,,200809,0.00,,200809,0.00,,200809,0.07,,200809,0.01,,200809,0.00,,200809,0.00,
108,200810,0.37,,200810,0.09,,200810,1.70,,200810,2.35,,200810,1.82,,200810,2.03,,200810,1.97,,200810,1.29,,200810,1.12,,200810,0.53,,200810,0.00,,200810,0.46,,200810,2.58,,200810,0.06,,200810,0.58,,200810,1.46,,200810,0.95,,200810,0.75,,200810,0.16,,200810,0.44,,200810,0.92,,200810,1.02,,200810,0.01,,200810,0.80,,200810,0.32,,200810,1.08,,200810,0.04,,200810,2.00,,200810,3.06,,200810,2.07,,200810,0.52,,200810,2.85,,200810,1.50,,200810,0.20,,200810,0.37,,200810,0.20,,200810,0.49,,200810,0.63,,200810,0.19,,200810,1.63,,200810,0.87,,200810,0.74,,200810,0.64,,200810,0.07,,200810,2.20,,200810,0.17,,200810,0.14,,200810,0.63,,200810,0.00,,200810,1.06,,200810,0.47,,200810,1.82,
109,200811,2.00,,200811,0.64,,200811,4.52,,200811,4.72,,200811,4.07,,200811,3.94,,200811,4.75,,200811,3.89,,200811,3.20,,200811,1.90,,200811,0.84,,200811,2.15,,200811,4.07,,200811,2.40,,200811,1.94,,200811,3.99,,200811,3.25,,200811,2.73,,200811,1.30,,200811,1.04,,200811,2.84,,200811,3.77,,200811,1.08,,200811,2.14,,200811,2.00,,200811,3.66,,200811,1.58,,200811,3.20,,200811,10.11,,200811,3.70,,200811,2.83,,200811,5.62,,200811,4.56,,200811,0.79,,200811,1.17,,200811,2.70,,200811,1.95,,200811,1.58,,200811,1.39,,200811,4.61,,200811,2.75,,200811,1.87,,200811,3.14,,200811,2.78,,200811,7.36,,200811,1.51,,200811,2.94,,200811,2.30,,200811,0.40,,200811,3.12,,200811,2.13,,200811,3.53,
110,200812,2.22,,200812,0.94,,200812,6.03,,200812,5.60,,200812,5.25,,200812,4.61,,200812,4.49,,200812,4.90,,200812,4.52,,200812,1.86,,200812,2.83,,200812,2.12,,200812,4.68,,200812,2.58,,200812,1.87,,200812,4.13,,200812,4.82,,200812,2.86,,200812,2.04,,200812,1.62,,200812,2.31,,200812,3.73,,200812,1.78,,200812,1.87,,200812,2.05,,200812,4.50,,200812,4.44,,200812,3.71,,200812,18.73,,200812,5.79,,200812,3.10,,200812,6.24,,200812,5.90,,200812,1.56,,200812,1.56,,200812,2.77,,200812,2.45,,200812,2.22,,200812,1.72,,200812,5.86,,200812,1.90,,200812,1.58,,200812,3.33,,200812,2.73,,200812,10.16,,200812,2.23,,200812,2.14,,200812,2.14,,200812,1.12,,200812,3.37,,200812,2.88,,200812,4.42,
111,200901,1.31,,200901,0.72,,200901,3.60,,200901,2.60,,200901,3.77,,200901,1.07,,200901,2.39,,200901,1.51,,200901,3.80,,200901,1.09,,200901,0.11,,200901,1.19,,200901,3.11,,200901,0.58,,200901,1.80,,200901,0.78,,200901,3.70,,200901,2.99,,200901,2.30,,200901,1.54,,200901,0.93,,200901,1.02,,200901,0.10,,200901,1.13,,200901,1.16,,200901,4.30,,200901,0.19,,200901,1.76,,200901,3.75,,200901,1.44,,200901,1.01,,200901,2.03,,200901,4.19,,200901,1.69,,200901,1.49,,200901,1.79,,200901,2.28,,200901,1.21,,200901,0.84,,200901,4.90,,200901,0.78,,200901,1.37,,200901,1.47,,200901,0.82,,200901,2.37,,200901,2.23,,200901,0.55,,200901,1.16,,200901,0.01,,200901,0.86,,200901,1.96,,200901,2.66,
112,200902,5.51,,200902,1.40,,200902,8.41,,200902,8.81,,200902,5.70,,200902,11.45,,200902,8.08,,200902,5.36,,200902,6.86,,200902,1.87,,200902,1.92,,200902,6.45,,200902,12.01,,200902,4.75,,200902,4.99,,200902,10.85,,200902,6.60,,200902,4.42,,200902,4.08,,200902,3.13,,200902,6.34,,200902,10.68,,200902,1.42,,200902,4.61,,200902,5.79,,200902,6.18,,200902,3.49,,200902,9.91,,200902,10.29,,200902,9.65,,200902,8.57,,200902,9.84,,200902,7.86,,200902,2.28,,200902,3.52,,200902,4.50,,200902,3.93,,200902,1.81,,200902,4.37,,200902,7.52,,200902,7.99,,200902,2.08,,200902,9.32,,200902,5.55,,200902,10.32,,200902,5.87,,200902,5.44,,200902,6.36,,200902,0.58,,200902,10.10,,200902,6.90,,200902,9.01,
113,200903,2.53,,200903,0.24,,200903,7.02,,200903,7.50,,200903,6.20,,200903,4.55,,200903,6.92,,200903,4.89,,200903,5.13,,200903,2.50,,200903,0.05,,200903,2.09,,200903,4.83,,200903,0.46,,200903,2.16,,200903,3.63,,200903,5.20,,200903,2.09,,200903,1.91,,200903,1.13,,200903,2.37,,200903,3.07,,200903,0.05,,200903,1.80,,200903,2.44,,200903,3.79,,200903,0.14,,200903,4.10,,200903,10.06,,200903,5.45,,200903,3.05,,200903,6.15,,200903,7.40,,200903,0.82,,200903,1.40,,200903,1.20,,200903,1.39,,200903,1.53,,200903,1.27,,200903,6.60,,200903,2.34,,200903,1.94,,200903,3.34,,200903,0.56,,200903,7.88,,200903,2.30,,200903,0.79,,200903,2.15,,200903,0.00,,200903,3.19,,200903,3.10,,200903,4.59,
114,200904,0.47,,200904,0.08,,200904,1.65,,200904,1.21,,200904,1.44,,200904,0.67,,200904,0.77,,200904,0.88,,200904,1.62,,200904,1.18,,200904,0.04,,200904,0.77,,200904,0.66,,200904,0.06,,200904,0.98,,200904,0.78,,200904,1.47,,200904,0.82,,200904,0.28,,200904,0.46,,200904,0.42,,200904,0.79,,200904,0.03,,200904,0.44,,200904,0.66,,200904,1.04,,200904,0.18,,200904,0.69,,200904,1.48,,200904,0.75,,200904,0.40,,200904,1.15,,200904,1.93,,200904,0.39,,200904,0.54,,200904,0.68,,200904,0.76,,200904,1.81,,200904,0.30,,200904,1.78,,200904,0.39,,200904,0.59,,200904,0.44,,200904,0.18,,200904,1.16,,200904,0.42,,200904,0.19,,200904,0.78,,200904,0.00,,200904,0.73,,200904,0.55,,200904,0.80,
115,200905,0.67,,200905,0.31,,200905,4.51,,200905,4.18,,200905,3.04,,200905,2.89,,200905,3.81,,200905,2.50,,200905,2.65,,200905,1.39,,200905,0.01,,200905,0.93,,200905,3.06,,200905,0.02,,200905,1.10,,200905,3.25,,200905,2.57,,200905,1.01,,200905,0.36,,200905,0.53,,200905,0.91,,200905,2.02,,200905,0.03,,200905,1.22,,200905,0.74,,200905,2.01,,200905,0.03,,200905,2.05,,200905,5.94,,200905,4.00,,200905,1.07,,200905,4.89,,200905,4.02,,200905,0.39,,200905,0.55,,200905,0.82,,200905,0.62,,200905,0.94,,200905,0.23,,200905,3.44,,200905,1.04,,200905,0.82,,200905,1.12,,200905,0.06,,200905,4.23,,200905,0.32,,200905,0.13,,200905,1.01,,200905,0.00,,200905,1.95,,200905,0.67,,200905,3.37,
116,200906,0.08,,200906,0.12,,200906,0.81,,200906,1.19,,200906,1.03,,200906,0.32,,200906,1.32,,200906,2.28,,200906,0.32,,200906,1.96,,200906,0.01,,200906,0.09,,200906,0.75,,200906,0.09,,200906,0.25,,200906,0.04,,200906,0.23,,200906,0.57,,200906,0.09,,200906,0.16,,200906,0.41,,200906,0.04,,200906,0.04,,200906,0.33,,200906,0.04,,200906,0.56,,200906,0.03,,200906,1.69,,200906,0.99,,200906,0.45,,200906,0.03,,200906,2.18,,200906,0.56,,200906,0.16,,200906,0.14,,200906,0.67,,200906,0.57,,200906,2.11,,200906,0.13,,200906,0.89,,200906,1.25,,200906,1.06,,200906,0.11,,200906,0.13,,200906,0.37,,200906,0.05,,200906,0.17,,200906,0.27,,200906,0.00,,200906,0.06,,200906,0.05,,200906,0.61,
117,200907,0.00,,200907,0.00,,200907,0.05,,200907,0.06,,200907,0.30,,200907,0.00,,200907,0.11,,200907,0.06,,200907,0.01,,200907,0.05,,200907,0.02,,200907,0.00,,200907,0.00,,200907,0.00,,200907,0.00,,200907,0.01,,200907,0.00,,200907,0.02,,200907,0.00,,200907,0.00,,200907,0.00,,200907,0.01,,200907,0.08,,200907,0.00,,200907,0.00,,200907,0.01,,200907,0.00,,200907,0.01,,200907,0.19,,200907,0.00,,200907,0.02,,200907,0.06,,200907,0.03,,200907,0.00,,200907,0.00,,200907,0.04,,200907,0.02,,200907,0.02,,200907,0.00,,200907,0.06,,200907,0.00,,200907,0.26,,200907,0.02,,200907,0.00,,200907,0.05,,200907,0.01,,200907,0.00,,200907,0.00,,200907,0.01,,200907,0.00,,200907,0.01,,200907,0.00,
118,200908,0.01,,200908,0.00,,200908,0.12,,200908,0.24,,200908,0.53,,200908,0.01,,200908,0.17,,200908,0.28,,200908,0.03,,200908,0.18,,200908,0.06,,200908,0.00,,200908,0.04,,200908,0.01,,200908,0.00,,200908,0.00,,200908,0.02,,200908,0.14,,200908,0.02,,200908,0.01,,200908,0.01,,200908,0.00,,200908,0.10,,200908,0.00,,200908,0.00,,200908,0.14,,200908,0.01,,200908,0.18,,200908,0.10,,200908,0.25,,200908,0.01,,200908,0.62,,200908,0.07,,200908,0.00,,200908,0.00,,200908,0.09,,200908,0.08,,200908,0.42,,200908,0.02,,200908,0.31,,200908,0.04,,200908,0.43,,200908,0.03,,200908,0.02,,200908,0.12,,200908,0.03,,200908,0.05,,200908,0.00,,200908,0.01,,200908,0.00,,200908,0.04,,200908,0.02,
119,200909,0.27,,200909,0.24,,200909,0.07,,200909,0.06,,200909,0.15,,200909,0.06,,200909,0.06,,200909,0.11,,200909,0.14,,200909,0.01,,200909,0.09,,200909,0.13,,200909,0.59,,200909,0.00,,200909,0.11,,200909,0.19,,200909,0.21,,200909,0.06,,200909,0.10,,200909,0.17,,200909,0.11,,200909,0.29,,200909,0.01,,200909,0.19,,200909,0.18,,200909,0.05,,200909,0.03,,200909,0.18,,200909,0.60,,200909,0.16,,200909,0.41,,200909,0.21,,200909,0.10,,200909,0.09,,200909,0.19,,200909,0.03,,200909,0.05,,200909,0.03,,200909,0.04,,200909,0.14,,200909,0.12,,200909,0.09,,200909,0.27,,200909,0.01,,200909,0.47,,200909,0.12,,200909,0.02,,200909,0.13,,200909,0.18,,200909,0.10,,200909,0.19,,200909,0.23,
120,200910,3.49,,200910,0.72,,200910,4.22,,200910,4.37,,200910,4.73,,200910,4.23,,200910,3.74,,200910,2.67,,200910,3.04,,200910,2.04,,200910,0.06,,200910,3.99,,200910,3.41,,200910,1.10,,200910,2.47,,200910,4.25,,200910,3.24,,200910,3.16,,200910,2.75,,200910,2.12,,200910,2.38,,200910,5.91,,200910,0.04,,200910,2.22,,200910,3.79,,200910,2.95,,200910,0.09,,200910,3.13,,200910,4.73,,200910,3.88,,200910,4.26,,200910,4.77,,200910,3.89,,200910,1.62,,200910,1.66,,200910,2.59,,200910,3.02,,200910,1.07,,200910,2.76,,200910,4.51,,200910,2.80,,200910,2.46,,200910,4.38,,200910,2.35,,200910,4.43,,200910,3.78,,200910,2.43,,200910,3.61,,200910,0.00,,200910,4.70,,200910,4.06,,200910,2.97,
121,200911,0.40,,200911,0.20,,200911,1.75,,200911,2.11,,200911,1.90,,200911,1.97,,200911,2.20,,200911,2.96,,200911,1.17,,200911,1.29,,200911,0.18,,200911,0.46,,200911,2.05,,200911,0.06,,200911,0.60,,200911,1.59,,200911,0.93,,200911,0.33,,200911,0.17,,200911,0.25,,200911,0.85,,200911,0.90,,200911,0.14,,200911,0.76,,200911,0.47,,200911,0.63,,200911,0.54,,200911,1.80,,200911,9.17,,200911,3.14,,200911,0.55,,200911,3.75,,200911,1.61,,200911,0.22,,200911,0.30,,200911,0.30,,200911,0.25,,200911,1.60,,200911,0.08,,200911,1.26,,200911,0.95,,200911,0.63,,200911,0.49,,200911,0.10,,200911,5.93,,200911,0.19,,200911,0.05,,200911,0.51,,200911,0.01,,200911,0.91,,200911,0.31,,200911,1.89,
